Election type: IRV
Election was ran on: Sun May 01 16:50:51 2022


Ballot Allocations: 
1,,,,2
1,,,2,
,1,2,,
2,,1,,
1,2,,,
1,,2,,
1,,,,2
1,,,,2
1,2,,,
,,1,,2
,2,1,,
,2,,1,
1,2,,,
,,,1,2
,,,2,1
2,,,1,
,,1,,2
,2,,1,
2,,,,1
,,1,,2
,1,,,2
,2,,1,
1,,,,2
2,,,1,
2,,1,,
,2,,,1
,,,2,1
,,,1,2
,1,2,,
2,,1,,
,,,2,1
2,1,,,
,,,1,2
,1,,,2
1,2,,,
2,,,,1
2,,,1,
,,1,,2
1,,,,2
,1,2,,
,,2,,1
,,1,2,
2,,,,1
2,,,1,
1,,2,,
,1,2,,
2,,,,1
,2,,,1
1,,,,2
1,,2,,
,,1,2,
,,,2,1
,,2,1,
2,1,,,
,2,1,,
2,,1,,
2,,,,1
1,,,2,
,1,,2,
1,,,,2
,2,,,1
1,,,,2
,,,1,2
,,1,,2
,1,,,2
,,,1,2
,1,,2,
,,1,2,
,1,,,2
,,2,,1
,,1,,2
1,,,,2
,,1,2,
1,,2,,
,1,,2,
2,,1,,
,2,,,1
,,,1,2
2,,,,1
2,1,,,
,2,,1,
2,,,,1
2,,1,,
2,,,1,
1,,,,2
2,,1,,
,1,,,2
,1,,2,
,2,,1,
,,2,,1
,1,2,,
2,,,1,
2,,,,1
1,,,,2
1,,2,,
1,2,,,
,,1,2,
,,1,2,
,,1,,2
,2,,,1
,1,2,,
,,2,,1
1,2,,,
2,1,,,
1,2,,,
1,,,,2
,1,,2,
,1,2,,
,,1,,2
1,,2,,
,1,2,,
2,,,1,
2,,,1,
2,,,1,
,1,2,,
2,,,1,
,,2,1,
1,2,,,
2,,,1,
,,,1,
,,2,1,
,,,1,2
1,,2,,
2,,1,,
,,,2,1
,1,2,,
1,2,,,
,,2,1,
,2,1,,
,2,1,,
,1,2,,
,1,,2,
,,,2,1
2,,,,1
,1,,,2
,1,2,,
,2,,1,
1,,,,2
1,,2,,
,,,2,1
1,,,2,
1,,2,,
2,,,1,
,2,,1,
2,,1,,
,1,,2,
,1,2,,
,2,,,1
,1,,2,
,,,2,1
1,2,,,
,2,,1,
1,2,,,
2,1,,,
2,,1,,
,,2,1,
,1,2,,
2,,,,1
,,,2,1
,2,,1,
1,2,,,
,1,,,2
1,2,,,
,1,2,,
1,2,,,
2,1,,,
,2,,1,
2,1,,,
,,,2,1
,2,1,,
,1,,2,
2,,,1,
,2,,1,
1,,,,2
,,2,1,
,2,,,1
,,2,1,
1,,,2,
,,1,,2
1,2,,,
1,,,2,
,,,1,2
,1,2,,
,2,,,1
,,,1,2
2,,,,1
1,,,2,
,2,1,,
,,,,1
2,,1,,
,,,2,1
,,2,,1
,,1,,2
,,1,2,
,,2,,1
,,1,,2
2,,1,,
,,,2,1
,,,2,1
1,,2,,
2,,,1,
2,1,,,
,2,,,1
,,2,,1
,1,,2,
1,,,,2
2,1,,,
2,,,,1
2,,,1,
2,,,1,
,,1,2,
,,,1,2
,,,2,1
,,1,2,
2,,,,1
,,2,,1
,,,2,1
1,,,2,
,,2,1,
1,,,,2
,1,,2,
1,,2,,
1,,,2,
,1,,,2
,1,2,,
,2,,1,
,,2,,1
2,,,1,
2,,,,1
,2,1,,
1,,,,2
,,1,2,
,,1,,2
,,,1,2
1,,2,,
,,1,,2
,,1,,2
,1,,,2
,1,,2,
,1,,2,
1,,,2,
,1,,2,
2,,1,,
1,,,,2
1,2,,,
,,1,2,
,2,,1,
,,,1,2
1,2,,,
2,,,1,
,2,,,1
,,,1,2
1,,2,,
,,1,2,
1,,,2,
1,2,,,
2,,,1,
2,1,,,
,,,1,2
,1,,,2
2,,,,1
2,1,,,
1,,2,,
1,,2,,
1,2,,,
,2,1,,
,1,,,2
,2,,1,
1,2,,,
,,2,,1
,,2,1,
1,,,2,
,2,,1,
,,2,1,
,,,1,2
2,,,1,
,2,,1,
2,,,,1
2,,1,,
2,,,1,
,1,,,2
,2,,,1
,2,,,1
2,,1,,
,,,1,2
2,,,1,
1,2,,,
2,,,,1
,1,,2,
,2,,1,
,,1,,
,1,,,2
1,,,,2
2,,,,1
,2,,1,
,,2,,1
,1,,2,
1,,,2,
2,,1,,
2,,1,,
2,1,,,
2,,1,,
2,,,,1
1,,,,2
2,,,,1
,,,1,2
,,1,,
,,2,,1
,1,,,2
,2,,1,
1,2,,,
1,2,,,
1,,,2,
,2,,,1
2,1,,,
,,1,,2
2,,1,,
2,,1,,
,1,,2,
,1,,2,
2,1,,,
,,2,1,
1,,2,,
2,,,,1
,1,,2,
,,,2,1
2,,1,,
2,,1,,
,1,2,,
,2,,,1
2,,1,,
,,,1,2
,,,1,2
2,,,,1
,1,,2,
,,1,2,
2,,,,1
2,1,,,
,,2,1,
,2,1,,
,,1,2,
,2,1,,
,2,1,,
,,,1,2
,,2,1,
